Country Name,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burkina Faso,"Population of the official age for tertiary education, both sexes (number)",SP.TER.TOTL.IN,1210878.0,1248354.0,1281062.0,1313764.0,1347105.0,1429767.0,1471090.0,1511404.0,1555222.0,1601898.0,
Burkina Faso,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,831314.0,854098.0,874191.0,896879.0,922236.0,983324.0,1014146.0,1042187.0,1072730.0,1105951.0,1141717.0
Burkina Faso,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,32.96662,32.7306,39.25778,,,,,,,50.0963,
Botswana,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,,,,,,,,,28.2575798034668,,
Botswana,GDP per capita (current US$),NY.GDP.PCAP.CD,5351.25373171646,5374.55486690776,5714.0479369416,5623.37956613594,5185.72984538137,6346.15620387349,7645.21461151315,7029.23145024034,7007.62578590176,7497.76237763566,6532.04467749128
Botswana,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,10.6785898208618,,8.85149002075195,,9.63292026519775,,,,,,
Botswana,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,9.16608047485352,10.0027599334717,10.1800699234009,14.1721601486206,21.7201404571533,19.1716995239258,17.1301498413086,21.1151695251465,,25.0358791351318,27.5310897827148
Botswana,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,61.9547309875488,65.4318237304688,67.2430572509766,55.9463882446289,,,,,,,
Botswana,Internet users (per 100 people),IT.NET.USER.P2,3.262554036,4.289932975,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.74474744,37.31205037
Botswana,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,84.0028991699219,87.5585632324219,86.0569229125977,88.1824798583984,,,,88.7707138061523,86.7544937133789,,
Botswana,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,220345.0,219663.0,219135.0,218861.0,218815.0,219038.0,219504.0,219807.0,219833.0,219707.0,219472.0
Botswana,"Population of the official age for tertiary education, both sexes (number)",SP.TER.TOTL.IN,214432.0,217320.0,218633.0,219649.0,220482.0,220982.0,221008.0,220756.0,,220196.0,220053.0
Botswana,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,88350.0,88243.0,88076.0,87818.0,87556.0,87468.0,87639.0,87834.0,87987.0,88068.0,87985.0
Botswana,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
Central African Republic,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,,,,,3.27033996582031,,,3.78315997123718,,,
Central African Republic,GDP per capita (current US$),NY.GDP.PCAP.CD,327.114946078927,347.607367766294,397.148046663325,456.861433397657,449.960183909181,446.443449375206,494.330677886517,486.410113966205,337.484961398269,377.13202741973,348.381417033715
Central African Republic,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.63694000244141,1.41453003883362,1.31264996528625,1.29009997844696,1.30320000648499,1.20408999919891,1.22393000125885,,,,
Central African Republic,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,1.12782001495361,,2.27610993385315,2.44476008415222,2.55825996398926,2.98681998252869,2.77415990829468,,,
Central African Republic,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,,,,,7.75696992874146,,9.12100028991699,9.09162044525146,,,
Central African Republic,Internet users (per 100 people),IT.NET.USER.P2,0.268195609,0.311159173,0.375815961,1.0,1.8,2.0,2.2,3.0,3.4,3.6,3.8
Central African Republic,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,8.48281955718994,,,,9.3444299697876,,,12.7098503112793,,,
Central African Republic,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,638545.0,649390.0,658268.0,668679.0,680860.0,694845.0,710071.0,724519.0,738874.0,752813.0,766439.0
Central African Republic,"Population of the official age for tertiary education, both sexes (number)",SP.TER.TOTL.IN,385052.0,395632.0,405697.0,416193.0,426504.0,436156.0,444922.0,451380.0,,464331.0,
Central African Republic,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,262419.0,268058.0,271924.0,275459.0,278962.0,282944.0,287918.0,293908.0,300849.0,308084.0,315038.0
Central African Republic,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,36.35627,,,,,
Cote d'Ivoire,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,,,,,,,,,,,
Cote d'Ivoire,GDP per capita (current US$),NY.GDP.PCAP.CD,931.754286971344,951.947895564691,1065.89637469891,1242.43104388465,1217.74920575106,1219.74909551521,1214.70394645331,1262.48021811586,1423.68228222575,1569.92827532574,1434.32661467505
